Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2018-05-05T00:00:00,TOYT,2D,,SIL,ACB8669,WI,10300 S. Doty,(773) 568-8495,2849984
2018-05-05T00:00:00,HOND,LL,,SIL,2209606,IL,701 N. Sacramento,(773) 265-7605,6922386
2018-05-05T00:00:00,NISS,4D,,GRY,Z154726,IL,10300 S. Doty,(773) 568-8495,2849994
2018-05-05T00:00:00,FORD,4D,,GRY,Z615777,IL,10300 S. Doty,(773) 568-8495,2849992
2018-05-05T00:00:00,VOLV,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2849987
2018-05-05T00:00:00,HYUN,4D,,BLU,00183648,IL,10300 S. Doty,(773) 568-8495,2849996
2018-05-05T00:00:00,CHEV,4D,,WHI,J640434,IN,10300 S. Doty,(773) 568-8495,2849995
2018-05-05T00:00:00,HOND,4D,,BLK,501T472,IL,701 N. Sacramento,(773) 265-7605,6922389
2018-05-05T00:00:00,CHEV,LL,,TAN,AL89185,IL,701 N. Sacramento,(773) 265-7605,6922392
2018-05-05T00:00:00,DODG,PK,,BLU,1155516B,IL,10300 S. Doty,(773) 568-8495,2849999
2018-05-05T00:00:00,DODG,4D,,BLU,AP44111,IL,10300 S. Doty,(773) 568-8495,2850000
2018-05-05T00:00:00,CHEV,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2850002
2018-05-06T00:00:00,CADI,4T,,WHI,AJ57236,IL,10300 S. Doty,(773) 568-8495,2850006
2018-05-06T00:00:00,PONT,4D,,BLK,AN18997,IL,10300 S. Doty,(773) 568-8495,2850013
2018-05-06T00:00:00,DODG,VN,,WHI,R480514,IL,701 N. Sacramento,(773) 265-7605,6922451
2018-05-06T00:00:00,CHRY,VC,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6922458
2018-05-06T00:00:00,LEXS,4D,,BLK,AP34486,IL,10300 S. Doty,(773) 568-8495,2850018
2018-05-06T00:00:00,CHEV,,TK,SIL,,IL,10300 S. Doty,(773) 568-8495,2850017
2018-05-06T00:00:00,FORD,LL,,WHI,AGO2241,AZ,10300 S. Doty,(773) 568-8495,2850019
2018-05-06T00:00:00,PONT,4D,,GRY,K799891,IL,10300 S. Doty,(773) 568-8495,2850021
2018-05-06T00:00:00,FORD,4D,TAU,GRY,943T814,IL,701 N. Sacramento,(773) 265-7605,6922502
2018-05-06T00:00:00,KIA,4D,,GRY,ZZ52090,IL,701 N. Sacramento,(773) 265-7605,6922522
2018-05-06T00:00:00,NISS,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2850046
2018-05-06T00:00:00,HYUN,2D,,PLE,E704741,IL,10300 S. Doty,(773) 568-8495,2850055
2018-05-06T00:00:00,PONT,4D,,BLK,790T747,IL,10300 S. Doty,(773) 568-8495,2850057
2018-05-06T00:00:00,KIA,VN,,TAN,,IL,10300 S. Doty,(773) 568-8495,2850058
2018-05-06T00:00:00,DODG,4D,,GRY,J343891,IN,10300 S. Doty,(773) 568-8495,2850060
2018-05-06T00:00:00,OLDS,4D,,BRO,136U916,IL,701 N. Sacramento,(773) 265-7605,6922534
2018-05-06T00:00:00,CHEV,4D,,BLK,AS78405,IL,10300 S. Doty,(773) 568-8495,2850059
2018-05-06T00:00:00,SUZI,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2850061
2018-05-07T00:00:00,CHEV,4D,,WHI,AD13130,IL,701 N. Sacramento,(773) 265-7605,6922540
2018-05-07T00:00:00,CHEV,2D,,RED,E459971,IL,701 N. Sacramento,(773) 265-7605,6922542
2018-05-07T00:00:00,CHEV,4D,,GRY,499084,IL,10300 S. Doty,(773) 568-8495,2850063
2018-05-07T00:00:00,FORD,4D,,BLK,AB35838,IL,10300 S. Doty,(773) 568-8495,2850062
2018-05-07T00:00:00,NISS,4D,,RED,ZX40556,IL,10300 S. Doty,(773) 568-8495,478246
2018-05-07T00:00:00,HOND,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6922544
2018-05-07T00:00:00,FORD,4D,,BLK,Q923118,IL,701 N. Sacramento,(773) 265-7605,6922549
2018-05-07T00:00:00,LEXS,4D,,WHI,126U204,IL,701 N. Sacramento,(773) 265-7605,6922545
2018-05-07T00:00:00,SATR,4D,,RED,Q529777,IL,10300 S. Doty,(773) 568-8495,2850071
2018-05-07T00:00:00,CHEV,LL,,BLU,AG57066,IL,10300 S. Doty,(773) 568-8495,2850074
2018-05-07T00:00:00,FORD,PK,TK,WHI,,,10300 S. Doty,(773) 568-8495,2850075
2018-05-07T00:00:00,HYUN,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6922554
2018-05-07T00:00:00,JEEP,LL,,WHI,642XNM,MN,701 N. Sacramento,(773) 265-1846,1537419
2018-05-06T00:00:00,ACUR,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6922517
2018-05-07T00:00:00,HOND,2T,,BLK,,,701 N. Sacramento,(773) 265-7605,6922547
2018-05-07T00:00:00,HOND,4D,,SIL,704617,IL,10300 S. Doty,(773) 568-8495,2850094
2018-05-07T00:00:00,FORD,4D,,BLU,,,10300 S. Doty,(773) 568-8495,2850100
2018-05-07T00:00:00,DODG,4D,,GRY,AK96468,IL,10300 S. Doty,(773) 568-8495,2850104
2018-05-07T00:00:00,MERC,4D,,GRN,927T322,IL,10300 S. Doty,(773) 568-8495,2850107
2018-05-07T00:00:00,JEEP,LL,,GRY,S904844,IL,701 N. Sacramento,(773) 265-7605,6922569
2018-05-07T00:00:00,PONT,4D,,RED,IT9825F,IL,701 N. Sacramento,(773) 265-7605,6922568
2018-05-07T00:00:00,CHEV,2D,,SIL,AG62468,IL,10300 S. Doty,(773) 568-8495,2850110
2018-05-07T00:00:00,LINC,4D,,GRY,ZU26277,IL,10300 S. Doty,(773) 568-8495,2850111
2018-05-07T00:00:00,FORD,PK,,MAR,1383811B,IL,10300 S. Doty,(773) 568-8495,2850113
2018-05-08T00:00:00,HYUN,4D,,GRY,AB59008,IL,10300 S. Doty,(773) 568-8495,2850117
2018-05-08T00:00:00,DODG,VN,,WHI,AP45552,IL,10300 S. Doty,(773) 568-8495,2850118
2018-05-07T00:00:00,ACUR,2D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6922574
2018-05-08T00:00:00,FORD,VN,,WHI,897T557,IL,701 N. Sacramento,(773) 265-7605,6922579
2018-05-08T00:00:00,CHEV,4D,,GLD,Q342877,IL,701 N. Sacramento,(773) 265-7605,6922580
2018-05-08T00:00:00,NISS,4D,,GLD,Q338378,IL,701 N. Sacramento,(773) 265-7605,6922582
2018-05-08T00:00:00,FORD,LL,TK,GLD,580918,IL,10300 S. Doty,(773) 568-8495,2850122
2018-05-08T00:00:00,CHRY,4D,,WHI,E431957,IL,701 N. Sacramento,(773) 265-7605,6922586
